ID,path,title,authors,translators,author_uris,translator_uris,original_language,genre,source_edition
44028,/p111/m44028,בבית דין של מעלה,אלכסנדר זיסקינד רבינוביץ',"",https://wikidata.org/wiki/Q12403993,"","",Translation missing: he.prose,תל אביב; הוצאת ועד היובל
44029,/p111/m44029,מפסקי צדיקים,אלכסנדר זיסקינד רבינוביץ',"",https://wikidata.org/wiki/Q12403993,"","",Translation missing: he.prose,תל אביב; הוצאת ועד היובל
44030,/p111/m44030,שלש דרגות,אלכסנדר זיסקינד רבינוביץ',"",https://wikidata.org/wiki/Q12403993,"","",Translation missing: he.prose,תל אביב; הוצאת ועד היובל
44031,/p111/m44031,חידודי חכמים,אלכסנדר זיסקינד רבינוביץ',"",https://wikidata.org/wiki/Q12403993,"","",Translation missing: he.prose,תל אביב; הוצאת ועד היובל
44032,/p111/m44032,מעולם השמחה,אלכסנדר זיסקינד רבינוביץ',"",https://wikidata.org/wiki/Q12403993,"","",Translation missing: he.prose,תל אביב; הוצאת ועד היובל
44033,/p111/m44033,גבורה עליונה,אלכסנדר זיסקינד רבינוביץ',"",https://wikidata.org/wiki/Q12403993,"","",Translation missing: he.article,תל־אביב: ועד היובל
44034,/p111/m44034,רחמנות,אלכסנדר זיסקינד רבינוביץ',"",https://wikidata.org/wiki/Q12403993,"","",Translation missing: he.article,תל־אביב: ועד היובל
44035,/p111/m44035,שוב על המאבדים עצמם לדעת,אלכסנדר זיסקינד רבינוביץ',"",https://wikidata.org/wiki/Q12403993,"","",Translation missing: he.article,תל־אביב: ועד היובל
44036,/p111/m44036,פורים בתל-אביב,אלכסנדר זיסקינד רבינוביץ',"",https://wikidata.org/wiki/Q12403993,"","",Translation missing: he.article,תל־אביב: ועד היובל
44037,/p111/m44037,"על הקרנבל ועל ה""צפלין""",אלכסנדר זיסקינד רבינוביץ',"",https://wikidata.org/wiki/Q12403993,"","",Translation missing: he.article,תל־אביב: ועד היובל
44038,/p111/m44038,קול אומר: קרא,אלכסנדר זיסקינד רבינוביץ',"",https://wikidata.org/wiki/Q12403993,"","",Translation missing: he.article,תל־אביב: ועד היובל
44039,/p111/m44039,צא ולמד!,אלכסנדר זיסקינד רבינוביץ',"",https://wikidata.org/wiki/Q12403993,"","",Translation missing: he.article,תל־אביב: ועד היובל
44040,/p111/m44040,זכרון לדורות,אלכסנדר זיסקינד רבינוביץ',"",https://wikidata.org/wiki/Q12403993,"","",Translation missing: he.article,תל־אביב: ועד היובל
44041,/p111/m44041,קנין המולדת,אלכסנדר זיסקינד רבינוביץ',"",https://wikidata.org/wiki/Q12403993,"","",Translation missing: he.article,תל־אביב: ועד היובל
